Epoch 36 [17.1s + 6.8s]: train==[1.14176=1.02808 + 0.11368 + 0.00000], recall=[0.61160, 0.74669], precision=[0.60414, 0.36916], hit=[0.97779, 0.99262], ndcg=[0.90543, 0.88791], map=[0.86027, 0.80465], mrr=[0.90469, 0.90675], f1=[0.60745, 0.49381]
Epoch 37 [17.5s + 7.1s]: train==[1.10436=0.98903 + 0.11532 + 0.00000], recall=[0.61277, 0.74828], precision=[0.60528, 0.36996], hit=[0.97833, 0.99265], ndcg=[0.90653, 0.88889], map=[0.86150, 0.80587], mrr=[0.90630, 0.90830], f1=[0.60861, 0.49487]
Epoch 38 [17.7s + 8.3s]: train==[1.08439=0.96739 + 0.11700 + 0.00000], recall=[0.61457, 0.75026], precision=[0.60707, 0.37094], hit=[0.97915, 0.99268], ndcg=[0.90776, 0.88975], map=[0.86295, 0.80689], mrr=[0.90756, 0.90945], f1=[0.61040, 0.49618]
Epoch 39 [17.5s + 6.6s]: train==[1.06560=0.94692 + 0.11868 + 0.00000], recall=[0.61482, 0.75112], precision=[0.60731, 0.37136], hit=[0.97893, 0.99252], ndcg=[0.90670, 0.88889], map=[0.86159, 0.80582], mrr=[0.90597, 0.90789], f1=[0.61065, 0.49675]
Epoch 40 [17.1s + 6.4s]: train==[1.02433=0.90397 + 0.12036 + 0.00000], recall=[0.61701, 0.75231], precision=[0.60947, 0.37195], hit=[0.97871, 0.99271], ndcg=[0.90758, 0.89000], map=[0.86297, 0.80763], mrr=[0.90701, 0.90896], f1=[0.61282, 0.49753]
Epoch 41 [17.1s + 6.7s]: train==[1.01130=0.88935 + 0.12196 + 0.00000], recall=[0.61954, 0.75396], precision=[0.61202, 0.37277], hit=[0.97890, 0.99255], ndcg=[0.90744, 0.89016], map=[0.86294, 0.80845], mrr=[0.90627, 0.90817], f1=[0.61537, 0.49863]
Epoch 42 [16.2s + 6.2s]: train==[0.97466=0.85116 + 0.12350 + 0.00000], recall=[0.62104, 0.75585], precision=[0.61350, 0.37372], hit=[0.97861, 0.99262], ndcg=[0.90765, 0.89050], map=[0.86334, 0.80882], mrr=[0.90678, 0.90875], f1=[0.61685, 0.49989]
Epoch 43 [16.3s + 6.3s]: train==[0.97075=0.84573 + 0.12502 + 0.00000], recall=[0.62234, 0.75738], precision=[0.61477, 0.37448], hit=[0.97935, 0.99268], ndcg=[0.90816, 0.89056], map=[0.86365, 0.80862], mrr=[0.90744, 0.90930], f1=[0.61814, 0.50091]
Epoch 44 [16.9s + 7.9s]: train==[0.94118=0.81470 + 0.12648 + 0.00000], recall=[0.62375, 0.75851], precision=[0.61616, 0.37504], hit=[0.97954, 0.99271], ndcg=[0.90896, 0.89154], map=[0.86470, 0.81015], mrr=[0.90841, 0.91026], f1=[0.61953, 0.50166]
Epoch 45 [16.3s + 6.6s]: train==[0.91601=0.78802 + 0.12799 + 0.00000], recall=[0.62468, 0.75912], precision=[0.61709, 0.37534], hit=[0.97979, 0.99278], ndcg=[0.90848, 0.89129], map=[0.86384, 0.80990], mrr=[0.90777, 0.90960], f1=[0.62046, 0.50206]
